point_queries_experiment/mongo/s2/q3v4_mongo_s2 500081
point_queries_experiment/mongo/s2/q3v3_mongo_s2 175088
point_queries_experiment/mongo/s2/q3v1_mongo_s2 123955
point_queries_experiment/mongo/s2/q3v2_mongo_s2 43409.6
tpch_experiment/psql/q3_psql 6271.23
tpch_experiment/mongo/s3/q3v1_mongo_s3 7241
tpch_experiment/mongo/s3/q3v2_mongo_s3 222416
tpch_experiment/mongo/s1/q3v3_mongo_s1 10536.2
tpch_experiment/mongo/s1/q3v1_mongo_s1 9152.8
tpch_experiment/mongo/s1/q3v2_mongo_s1 10557.2
tpch_experiment/mongo/s2/q3v3_mongo_s2 519094
tpch_experiment/mongo/s2/q3v1_mongo_s2 4600.6
tpch_experiment/mongo/s2/q3v2_mongo_s2 29129
tpch_experiment/psql/q4_psql 12267.2
tpch_experiment/mongo/s3/q4_mongo_s3 7435.4
tpch_experiment/mongo/s1/q4v3_mongo_s1 23820.4
tpch_experiment/mongo/s1/q4v2_mongo_s1 23222.2
tpch_experiment/mongo/s1/q4v1_mongo_s1 22472.2
tpch_experiment/mongo/s2/q4_mongo_s2 14248.8
tpch_experiment/psql/q22_psql 320.751
tpch_experiment/mongo/s3/q22_mongo_s3 255925
tpch_experiment/mongo/s1/q22_mongo_s1 6631.6
tpch_experiment/mongo/s2/q22_mongo_s2 39891.8
